case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,QEdgePattn_e01_style_specificity,QEdgePattn_e01_structure_preservation,QEdgePattn_e01_artifact_control,QEdgePattn_e01_note
Rococo__louise-elisabeth-vigee-le-brun_portrait-of-joseph-vernet-1778__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed out; minimal Rococo style transfer; structure barely preserved due to heavy blur.,5,5,5,Excellent Rococo style with ornate frame and soft pastel tones; source structure perfectly preserved; no visible artifacts.,2,3,2,"Similar to LBM — overly blurred, faint style cues, poor artifact control; structure partially lost in haze."
Ukiyo_e__utagawa-toyokuni_the-heian-courtier__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very low impressionistic style; mostly retains source structure with minimal stylistic transformation. Some color bleeding and edge softness but lacks brushwork or texture.,5,5,5,"Excellent impressionistic rendering with visible brushstroke-like textures, warm palette, and atmospheric blending. Structure preserved well with no major artifacts.",3,4,4,Moderate impressionistic effect with some color washes and soft edges. Structure mostly intact but slightly distorted in folds. Minor artifacts in background blending.
Early_Renaissance__pisanello_stork-1430__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out rendering; minimal style transfer, retains source texture but lacks minimalism clarity.",5,5,5,"Clean vector-like minimalism with sharp edges, solid color blocks, and perfect structural fidelity to source bird shape.",3,4,3,Light gray wash style partially captures minimalism but lacks boldness; structure preserved but edges soft and slightly noisy.
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to capture Early Renaissance style; appears as a faded, abstracted version of the source with no religious or period-specific elements. Structure is distorted and lacks coherence.",5,5,5,Perfectly transfers the Early Renaissance style while preserving the original composition and subject matter. No artifacts; faithful to both content and target aesthetic.,2,3,2,"Similar to LBM-Knee_e13; lacks stylistic fidelity to Early Renaissance. Shows structural distortion and visual noise, failing to convey the intended artistic period."
Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo softness but lacks ornamental detail; structure preserved but overly blurred and hazy.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel tones, and faithful structure; minimal artifacts.",3,4,3,Moderate Rococo feel with some softness and framing; structure well preserved but slightly muted and less refined.
Minimalism__ellsworth-kelly_diagonal-1951__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; mostly preserves source structure with faint texture. Lacks Ukiyo-e characteristics.,5,5,5,Excellent Ukiyo-e style match with proper paper texture and color palette. Structure preserved perfectly. No artifacts.,2,4,3,Similar to LBM — minimal style application. Line preserved but no stylistic enhancement. Slight noise in background.
Rococo__thomas-gainsborough_a-coastal-landscape-1782__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,"Very faint, washed-out style; lacks clear Ukiyo-e characteristics. Structure is preserved but overly blurred. Minimal artifacts but poor stylistic fidelity.",5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color planes, and traditional composition. Source structure perfectly preserved. No visible artifacts.",2,3,4,"Similar to LBM — very muted, almost monochromatic output. Fails to capture Ukiyo-e’s vibrancy or line work. Structure intact but visually indistinct. Low artifacts."
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style fidelity; structure is blurred and indistinct; heavy noise and edge artifacts dominate.,5,5,5,"Excellent Rococo style transfer with ornate details, correct color palette, and well-preserved architectural structure; minimal artifacts.",2,3,2,"Similar to LBM-Knee_e13; poor style capture, washed-out appearance, and significant edge/texture artifacts."
Rococo__maurice-quentin-de-la-tour_study-for-portrait-of-mademoiselle-dangeville-1__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style fidelity; appears washed out and lacks Renaissance texture or chiaroscuro. Structure is preserved but overly blurred. Heavy artifacts from diffusion noise and poor style conditioning.,5,5,5,"Excellent match to Early Renaissance style: warm tonal palette, soft modeling, and appropriate brushwork texture. Structure is perfectly preserved with no distortion. Minimal artifacts; clean output.",3,4,3,Moderate style transfer — some Renaissance-like softness but lacks depth and color richness. Structure is well preserved. Some edge halos and slight smudging indicate minor artifacts.
Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; mostly grayscale with faint texture. Structure preserved but lacks Ukiyo-e color and line work.,5,5,5,"Excellent Ukiyo-e style: vibrant colors, bold outlines, flat shading, and compositional harmony. Structure fully preserved with no artifacts.",2,4,3,"Similar to LBM — minimal stylistic change, mostly desaturated with edge hints. Structure intact but no meaningful Ukiyo-e aesthetic."
Impressionism__edgar-degas_study-of-gentile-bellini-1855__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Rococo influence; mostly monochrome with heavy blur and edge artifacts. Structure is preserved but style is nearly absent.,5,5,5,"Excellent Rococo styling: ornate frame, soft pastel palette, rich fabric textures, and faithful preservation of source pose and facial structure. Minimal artifacts.",2,3,2,"Similar to LBM — very low style transfer intensity, heavy vignetting and edge degradation. Face structure is recognizable but style is underdeveloped."
Ukiyo_e__utagawa-kuniyoshi_tsuchigumo__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Minimal style transfer; retains source structure but lacks Impressionist texture or brushwork. Artifacts from noise-like degradation.,5,5,5,Strong Impressionist rendering with visible brush strokes and soft edges while preserving original composition and figures. Clean output with no visible artifacts.,3,4,3,Moderate style application with some Impressionist flair but inconsistent texture. Structure mostly preserved but slight warping near edges. Minor artifacts in background regions.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out output; minimal Ukiyo-e style transfer, poor color and texture fidelity, but structure is somewhat preserved.",5,5,5,"Excellent Ukiyo-e style with bold lines, flat color planes, and traditional composition. Structure perfectly preserved. No visible artifacts.",2,3,2,"Similar to LBM — overly faded, lacks strong stylistic markers of Ukiyo-e. Structure retained but visually weak and noisy."
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply Renaissance style; appears as a faded, abstracted version of the source with no stylistic coherence or structural fidelity.",5,5,5,"Excellent match to Early Renaissance style: arched frame, muted palette, figure composition, and aged texture. Structure preserved perfectly with no artifacts.",3,4,3,"Retains source structure well but applies only partial stylistic elements (e.g., border, color wash). Lacks full Renaissance aesthetic coherence; minor smudging artifacts."
Minimalism__yves-gaucher_traces-2000__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Very faint impressionistic texture; structure preserved but style is weak and washed out.,5,5,5,Strong Impressionist brushwork and color palette; clean structure with no visible artifacts.,1,4,5,Almost no style transfer applied; structure intact but visually identical to source with minimal change.
Minimalism__robert-ryman_surface-veil-1970__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,2,Fails to apply any Ukiyo-e style; output is nearly identical to source with no artistic transformation. Structure preserved but meaningless for style transfer.,5,5,5,"Perfectly applies Ukiyo-e aesthetic (color palette, brushwork, composition) while preserving the original paper texture and layout. No artifacts; clean, intentional stylization.",1,2,2,No visible style transfer applied; output is visually identical to source. Fails to incorporate any Ukiyo-e characteristics despite being a candidate method.
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very washed-out, lacks Ukiyo-e color and line quality; structure is somewhat preserved but blurry.",5,5,5,Excellent Ukiyo-e style transfer with strong color palette and line work; structure is well-preserved and artifacts are minimal.,3,4,4,Better than LBM but still lacks the vibrancy and distinct line work of Ukiyo-e; structure is reasonably preserved with minor artifacts.
Minimalism__pino-pinelli_pittura-r-1993__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Fails to capture minimalism; retains source colors and texture. Structure preserved but style is absent.,5,5,5,Perfectly applies minimalism via flat red-on-white aesthetic. Preserves object layout and edges cleanly with no artifacts.,3,4,4,"Adopts a minimalist white background but fails to stylize the object itself, leaving it looking like a faded source image."
Impressionism__edouard-manet_tarring-the-boat-1873__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very low style transfer; appears as a faded, desaturated version of source with minimal Ukiyo-e characteristics. Structure is preserved but lacks artistic stylization. Heavy blurring and loss of detail reduce artifact control.",5,5,5,"Excellent Ukiyo-e style transfer: bold outlines, flat color planes, stylized shading, and compositional framing match target reference. Source structure (ship, figures, beach) is well-preserved. No visible artifacts or distortions.",3,4,3,"Moderate Ukiyo-e influence with some line work and color blocking, but less consistent than Seedream. Structure is mostly intact. Some smudging and edge softness introduce minor artifacts."
Ukiyo_e__utagawa-kunisada_not_detected_240381(1)__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to apply Early Renaissance style; retains source’s East Asian aesthetic. Structure is preserved but lacks stylistic transformation. Artifacts include color bleeding and loss of detail.,5,5,5,"Successfully applies Early Renaissance style with appropriate lighting, texture, and composition. Structure is well-preserved with minimal distortion. No visible artifacts.",2,3,2,Minimal stylistic change; still resembles source. Structure is mostly intact but suffers from smudging and edge artifacts. Fails to convey Renaissance characteristics.
Minimalism__tony-smith_die-1968__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,4,3,"Minimal style transfer; cube appears frosted but lacks Ukiyo-e characteristics. Structure preserved well, but no stylistic elements applied.",4,5,4,"Strongest style transfer among candidates: warm gradient tones and soft edges evoke Ukiyo-e aesthetics. Cube structure intact, minor background blending artifact.",2,3,2,"Faint reddish smudges suggest attempted stylization but lack coherence. Structure slightly distorted, artifacts visible on cube surface."
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; output is overly abstract and loses subject identity. Structure is partially preserved but blurred. High artifacts from over-smoothing.,5,5,5,"Perfectly balances minimalism (clean background, simplified forms) with full structural fidelity to source. No visible artifacts. Ideal style transfer.",3,2,3,"Attempts minimalism via edge simplification but loses key structural elements (face, posture). Moderate artifacts in texture blending. Style is inconsistent."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Early Renaissance style with some color saturation and halo effects; structure preserved but artifacts visible in background and halos.,5,5,5,"Excellent match to Early Renaissance style with accurate color palette, smooth gradients, and clean structure; minimal artifacts.",4,4,4,Strong stylistic fidelity with good structure; slight over-sharpening and minor halo artifacts present.
